Vivado Simulator 2020.1
Time resolution is 1 ps
Test# | iA | iB | iC | Sum | oC | Expected Sum | Expected Carry | Result
-----|----|----|----|----|----|--------------|--------------|---------
   0 | 13604 | 24193 | 1 | 37798 | 0 |        37798 |            0 | PASS
   1 | 22115 | 31501 | 1 | 53617 | 0 |        53617 |            0 | PASS
   2 | 33893 | 21010 | 1 | 54904 | 0 |        54904 |            0 | PASS
   3 | 52493 | 61814 | 1 | 48772 | 1 |        48772 |            1 | PASS
   4 | 22509 | 63372 | 1 | 20346 | 1 |        20346 |            1 | PASS
   5 | 9414 | 33989 | 0 | 43403 | 0 |        43403 |            0 | PASS
   6 | 63461 | 29303 | 0 | 27228 | 1 |        27228 |            1 | PASS
   7 | 56207 | 27122 | 0 | 17793 | 1 |        17793 |            1 | PASS
   8 | 31464 | 20165 | 0 | 51629 | 0 |        51629 |            0 | PASS
   9 | 10429 | 22573 | 1 | 33003 | 0 |        33003 |            0 | PASS
$finish called at time : 500 ns : File "/home/sodir/CDD/lab1/lab1.srcs/sim_1/new/ripple_carry_adder_Nb_TB.v" Line 46
